meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
in iambic pentameter,,alpaca,write a line in iambic pentameter including the word alpaca ,"Beneath the starlit sky, the alpaca roams.","Beneath the starlit sky, the alpaca roams.",be NEATH the STAR lit SKY THE al PA ca ROAMS,-+-+-++-+-+,-+-+-+--+-+,1.0,1,2
in iambic pentameter,,alpaca,write a line in iambic pentameter including the word alpaca ,"Beneath the starlit sky, the alpaca roams.","Beneath the starlit sky, the alpaca roams.",be NEATH the STAR lit SKY THE al PA ca ROAMS,-+-+-++-+-+,-+-+-+--+-+,1.0,1,2
in iambic pentameter,,anaconda,write a line in iambic pentameter including the word anaconda ,The anaconda coils beneath the moon,The anaconda coils beneath the moon,the A na CON da COILS be NEATH the MOON,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,anaconda,write a line in iambic pentameter including the word anaconda ,The anaconda coils beneath the moon,The anaconda coils beneath the moon,the A na CON da COILS be NEATH the MOON,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,anaconda,write a line in iambic pentameter including the word anaconda ,The anaconda coils beneath the moon,The anaconda coils beneath the moon,the A na CON da COILS be NEATH the MOON,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,angelfish,write a line in iambic pentameter including the word angelfish ,"Upon the tide, the angelfish does glide.","Upon the tide, the angelfish does glide.",u PON the TIDE the AN gel FISH does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,angelfish,write a line in iambic pentameter including the word angelfish ,"Upon the tide, the angelfish does glide.","Upon the tide, the angelfish does glide.",u PON the TIDE the AN gel FISH does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,angelfish,write a line in iambic pentameter including the word angelfish ,"Upon the tide, the angelfish does glide.","Upon the tide, the angelfish does glide.",u PON the TIDE the AN gel FISH does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,ant,write a line in iambic pentameter including the word ant ,"Beneath the moon, an ant explores the night.","Beneath the moon, an ant explores the night.",be NEATH the MOON an ANT ex PLORES the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,ant,write a line in iambic pentameter including the word ant ,"Beneath the moon, an ant explores the night.","Beneath the moon, an ant explores the night.",be NEATH the MOON an ANT ex PLORES the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,ant,write a line in iambic pentameter including the word ant ,"Beneath the moon, an ant explores the night.","Beneath the moon, an ant explores the night.",be NEATH the MOON an ANT ex PLORES the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,anteater,write a line in iambic pentameter including the word anteater ,The silent anteater moves through dawn's cool light.,The silent anteater moves through dawn's cool light.,the SI lent AN.TEA ter MOVES through DAWN'S cool LIGHT,-+-++-+-+-+,-+-++-+-+++,2.0,2,3
in iambic pentameter,,anteater,write a line in iambic pentameter including the word anteater ,The silent anteater moves through dawn's cool light.,The silent anteater moves through dawn's cool light.,the SI lent AN.TEA ter MOVES through DAWN'S cool LIGHT,-+-++-+-+-+,-+-++-+-+++,2.0,2,3
in iambic pentameter,,anteater,write a line in iambic pentameter including the word anteater ,The silent anteater moves through dawn's cool light.,The silent anteater moves through dawn's cool light.,the SI lent AN.TEA ter MOVES through DAWN'S cool LIGHT,-+-++-+-+-+,-+-++-+-+++,2.0,2,3
in iambic pentameter,,antelope,write a line in iambic pentameter including the word antelope ,The graceful antelope through meadows runs,The graceful antelope through meadows runs,the GRA ceful AN te LOPE through MEA dows RUNS,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
in iambic pentameter,,antelope,write a line in iambic pentameter including the word antelope ,The graceful antelope through meadows runs,The graceful antelope through meadows runs,the GRA ceful AN te LOPE through MEA dows RUNS,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
in iambic pentameter,,antelope,write a line in iambic pentameter including the word antelope ,The graceful antelope through meadows runs,The graceful antelope through meadows runs,the GRA ceful AN te LOPE through MEA dows RUNS,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
in iambic pentameter,,ape,write a line in iambic pentameter including the word ape ,The silent ape beneath the starlit sky.,The silent ape beneath the starlit sky.,the SI lent APE be NEATH the STAR lit SKY,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,ape,write a line in iambic pentameter including the word ape ,The silent ape beneath the starlit sky.,The silent ape beneath the starlit sky.,the SI lent APE be NEATH the STAR lit SKY,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,ape,write a line in iambic pentameter including the word ape ,The silent ape beneath the starlit sky.,The silent ape beneath the starlit sky.,the SI lent APE be NEATH the STAR lit SKY,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,armadillo,write a line in iambic pentameter including the word armadillo ,"Beneath the stars, the armadillo roams.","Beneath the stars, the armadillo roams.",be NEATH the STARS the AR ma DIL lo ROAMS,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,armadillo,write a line in iambic pentameter including the word armadillo ,"Beneath the stars, the armadillo roams.","Beneath the stars, the armadillo roams.",be NEATH the STARS the AR ma DIL lo ROAMS,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,armadillo,write a line in iambic pentameter including the word armadillo ,"Beneath the stars, the armadillo roams.","Beneath the stars, the armadillo roams.",be NEATH the STARS the AR ma DIL lo ROAMS,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,baboon,write a line in iambic pentameter including the word baboon ,"When shadows fall, the baboon begins to cry.","When shadows fall, the baboon begins to cry.",when SHA dows FALL THE ba BOON be GINS to CRY,-+-++-+-+-+,-+++--+-+-+,2.0,2,6
in iambic pentameter,,baboon,write a line in iambic pentameter including the word baboon ,"When shadows fall, the baboon begins to cry.","When shadows fall, the baboon begins to cry.",when SHA dows FALL THE ba BOON be GINS to CRY,-+-++-+-+-+,-+++--+-+-+,2.0,2,6
in iambic pentameter,,baboon,write a line in iambic pentameter including the word baboon ,"When shadows fall, the baboon begins to cry.","When shadows fall, the baboon begins to cry.",when SHA dows FALL THE ba BOON be GINS to CRY,-+-++-+-+-+,-+++--+-+-+,2.0,2,6
in iambic pentameter,,badger,write a line in iambic pentameter including the word badger ,"Upon the moor, the badger digs alone.","Upon the moor, the badger digs alone.",u PON the MOOR the BAD ger DIGS a LONE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,badger,write a line in iambic pentameter including the word badger ,"Upon the moor, the badger digs alone.","Upon the moor, the badger digs alone.",u PON the MOOR the BAD ger DIGS a LONE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,badger,write a line in iambic pentameter including the word badger ,"Upon the moor, the badger digs alone.","Upon the moor, the badger digs alone.",u PON the MOOR the BAD ger DIGS a LONE,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,barracuda,write a line in iambic pentameter including the word barracuda ,Upon the waves the silent barracuda moves.,Upon the waves the silent barracuda moves.,u PON the WAVES the SI lent BAR ra CU da MOVES,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,barracuda,write a line in iambic pentameter including the word barracuda ,Upon the waves the silent barracuda moves.,Upon the waves the silent barracuda moves.,u PON the WAVES the SI lent BAR ra CU da MOVES,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,barracuda,write a line in iambic pentameter including the word barracuda ,Upon the waves the silent barracuda moves.,Upon the waves the silent barracuda moves.,u PON the WAVES the SI lent BAR ra CU da MOVES,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,bat,write a line in iambic pentameter including the word bat ,A weary bat drifts o’er the darkened sky.,,,,,,,
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,The silent woods upon the bear's retreat,The silent woods upon the bear's retreat,the SI lent WOODS u PON the BEAR'S re TREAT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,The silent woods upon the bear's retreat,The silent woods upon the bear's retreat,the SI lent WOODS u PON the BEAR'S re TREAT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,The silent woods upon the bear's retreat,The silent woods upon the bear's retreat,the SI lent WOODS u PON the BEAR'S re TREAT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,beaver,write a line in iambic pentameter including the word beaver ,And watch the beaver build beneath the trees.,And watch the beaver build beneath the trees.,and WATCH the BEA ver BUILD be NEATH the TREES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,beaver,write a line in iambic pentameter including the word beaver ,And watch the beaver build beneath the trees.,And watch the beaver build beneath the trees.,and WATCH the BEA ver BUILD be NEATH the TREES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,beaver,write a line in iambic pentameter including the word beaver ,And watch the beaver build beneath the trees.,And watch the beaver build beneath the trees.,and WATCH the BEA ver BUILD be NEATH the TREES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,bee,write a line in iambic pentameter including the word bee ,"Upon the garden's edge, the bee takes flight.","Upon the garden's edge, the bee takes flight.",u PON the GAR den's EDGE the BEE takes FLIGHT,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
in iambic pentameter,,bee,write a line in iambic pentameter including the word bee ,"Upon the garden's edge, the bee takes flight.","Upon the garden's edge, the bee takes flight.",u PON the GAR den's EDGE the BEE takes FLIGHT,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
in iambic pentameter,,bee,write a line in iambic pentameter including the word bee ,"Upon the garden's edge, the bee takes flight.","Upon the garden's edge, the bee takes flight.",u PON the GAR den's EDGE the BEE takes FLIGHT,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
in iambic pentameter,,beetle,write a line in iambic pentameter including the word beetle ,The beetle scurries through the forest night.,The beetle scurries through the forest night.,the BEE tle SCUR ries THROUGH the FO rest NIGHT,-+-+-+-+-+,-+-+---+-+,1.0,1,2
in iambic pentameter,,beetle,write a line in iambic pentameter including the word beetle ,The beetle scurries through the forest night.,The beetle scurries through the forest night.,the BEE tle SCUR ries THROUGH the FO rest NIGHT,-+-+-+-+-+,-+-+---+-+,1.0,1,2
in iambic pentameter,,beetle,write a line in iambic pentameter including the word beetle ,The beetle scurries through the forest night.,The beetle scurries through the forest night.,the BEE tle SCUR ries THROUGH the FO rest NIGHT,-+-+-+-+-+,-+-+---+-+,1.0,1,2
in iambic pentameter,,beluga,write a line in iambic pentameter including the word beluga ,The beluga sings beneath the starry sky.,The beluga sings beneath the starry sky.,the.be LU ga SINGS be NEATH the STAR ry SKY,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
in iambic pentameter,,beluga,write a line in iambic pentameter including the word beluga ,The beluga sings beneath the starry sky.,The beluga sings beneath the starry sky.,the.be LU ga SINGS be NEATH the STAR ry SKY,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
in iambic pentameter,,beluga,write a line in iambic pentameter including the word beluga ,The beluga sings beneath the starry sky.,The beluga sings beneath the starry sky.,the.be LU ga SINGS be NEATH the STAR ry SKY,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
in iambic pentameter,,bison,write a line in iambic pentameter including the word bison ,Upon the plains the mighty bison roam free,Upon the plains the mighty bison roam free,u PON the PLAINS the MIGH ty BI son ROAM free,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,bison,write a line in iambic pentameter including the word bison ,Upon the plains the mighty bison roam free,Upon the plains the mighty bison roam free,u PON the PLAINS the MIGH ty BI son ROAM free,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,bison,write a line in iambic pentameter including the word bison ,Upon the plains the mighty bison roam free,Upon the plains the mighty bison roam free,u PON the PLAINS the MIGH ty BI son ROAM free,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,blackbird,write a line in iambic pentameter including the word blackbird ,"Upon the dawn, the blackbird sings its song.","Upon the dawn, the blackbird sings its song.",u PON the DAWN the BLACK bird SINGS its SONG,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,blackbird,write a line in iambic pentameter including the word blackbird ,"Upon the dawn, the blackbird sings its song.","Upon the dawn, the blackbird sings its song.",u PON the DAWN the BLACK bird SINGS its SONG,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,blackbird,write a line in iambic pentameter including the word blackbird ,"Upon the dawn, the blackbird sings its song.","Upon the dawn, the blackbird sings its song.",u PON the DAWN the BLACK bird SINGS its SONG,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,blue jay,write a line in iambic pentameter including the word blue jay ,"In quiet woods, the blue jay calls at dawn.","In quiet woods, the blue jay calls at dawn.",in QUI et WOODS the BLUE jay CALLS at DAWN,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,blue jay,write a line in iambic pentameter including the word blue jay ,"In quiet woods, the blue jay calls at dawn.","In quiet woods, the blue jay calls at dawn.",in QUI et WOODS the BLUE jay CALLS at DAWN,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,blue jay,write a line in iambic pentameter including the word blue jay ,"In quiet woods, the blue jay calls at dawn.","In quiet woods, the blue jay calls at dawn.",in QUI et WOODS the BLUE jay CALLS at DAWN,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,boa,write a line in iambic pentameter including the word boa ,"Amid the leaves, the silent boa finds its way.","Amid the leaves, the silent boa finds its way.",a MID the LEAVES the SI lent B oa FINDS its WAY,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,boa,write a line in iambic pentameter including the word boa ,"Amid the leaves, the silent boa finds its way.","Amid the leaves, the silent boa finds its way.",a MID the LEAVES the SI lent B oa FINDS its WAY,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,boa,write a line in iambic pentameter including the word boa ,"Amid the leaves, the silent boa finds its way.","Amid the leaves, the silent boa finds its way.",a MID the LEAVES the SI lent B oa FINDS its WAY,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,boar,write a line in iambic pentameter including the word boar ,"Beneath the moon, the wild boar roams the night.","Beneath the moon, the wild boar roams the night.",be NEATH the MOON the WILD boar ROAMS the NIGHT,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,boar,write a line in iambic pentameter including the word boar ,"Beneath the moon, the wild boar roams the night.","Beneath the moon, the wild boar roams the night.",be NEATH the MOON the WILD boar ROAMS the NIGHT,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,boar,write a line in iambic pentameter including the word boar ,"Beneath the moon, the wild boar roams the night.","Beneath the moon, the wild boar roams the night.",be NEATH the MOON the WILD boar ROAMS the NIGHT,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
in iambic pentameter,,buffalo,write a line in iambic pentameter including the word buffalo ,Upon the grassy plains the buffalo roam,Upon the grassy plains the buffalo roam,u PON the GRAS sy PLAINS the BUF fa LO roam,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,buffalo,write a line in iambic pentameter including the word buffalo ,Upon the grassy plains the buffalo roam,Upon the grassy plains the buffalo roam,u PON the GRAS sy PLAINS the BUF fa LO roam,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,buffalo,write a line in iambic pentameter including the word buffalo ,Upon the grassy plains the buffalo roam,Upon the grassy plains the buffalo roam,u PON the GRAS sy PLAINS the BUF fa LO roam,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,butterfly,write a line in iambic pentameter including the word butterfly ,The butterfly dances in the morning sun.,The butterfly dances in the morning sun.,the BUT ter FLY.DAN ces IN the MOR ning SUN,-+-++-+-+-+,-+-++-+-+-+,1.0,1,5
in iambic pentameter,,butterfly,write a line in iambic pentameter including the word butterfly ,The butterfly dances in the morning sun.,The butterfly dances in the morning sun.,the BUT ter FLY.DAN ces IN the MOR ning SUN,-+-++-+-+-+,-+-++-+-+-+,1.0,1,5
in iambic pentameter,,butterfly,write a line in iambic pentameter including the word butterfly ,The butterfly dances in the morning sun.,The butterfly dances in the morning sun.,the BUT ter FLY.DAN ces IN the MOR ning SUN,-+-++-+-+-+,-+-++-+-+-+,1.0,1,5
in iambic pentameter,,camel,write a line in iambic pentameter including the word camel ,"Upon the dunes, the weary camel strides.","Upon the dunes, the weary camel strides.",u PON the DUNES the WEA ry CA mel STRIDES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,camel,write a line in iambic pentameter including the word camel ,"Upon the dunes, the weary camel strides.","Upon the dunes, the weary camel strides.",u PON the DUNES the WEA ry CA mel STRIDES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,canary,write a line in iambic pentameter including the word canary ,The canary sings beneath the morning light.,The canary sings beneath the morning light.,the.ca NA ry SINGS be NEATH the MOR ning LIGHT,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
in iambic pentameter,,canary,write a line in iambic pentameter including the word canary ,The canary sings beneath the morning light.,The canary sings beneath the morning light.,the.ca NA ry SINGS be NEATH the MOR ning LIGHT,--+-+-+-+-+,--+-+-+-+-+,1.0,1,2
in iambic pentameter,,capybara,write a line in iambic pentameter including the word capybara ,"Beneath the moonlight, capybara roam","Beneath the moonlight, capybara roam",be NEATH the MOON light CA py BA ra ROAM,-+-+-+-+-+,-+-+++-+-+,1.0,1,2
in iambic pentameter,,capybara,write a line in iambic pentameter including the word capybara ,"Beneath the moonlight, capybara roam","Beneath the moonlight, capybara roam",be NEATH the MOON light CA py BA ra ROAM,-+-+-+-+-+,-+-+++-+-+,1.0,1,2
in iambic pentameter,,cardinal,write a line in iambic pentameter including the word cardinal ,The cardinal's song echoes through the pine.,The cardinal's song echoes through the pine.,the CAR di NAL'S song EC hoes THROUGH the PINE,-+-+-+-+-+,-+--++---+,3.0,3,5
in iambic pentameter,,cardinal,write a line in iambic pentameter including the word cardinal ,The cardinal's song echoes through the pine.,The cardinal's song echoes through the pine.,the CAR di NAL'S song EC hoes THROUGH the PINE,-+-+-+-+-+,-+--++---+,3.0,3,5
in iambic pentameter,,caribou,write a line in iambic pentameter including the word caribou ,"Upon the hill, the lonely caribou stands","Upon the hill, the lonely caribou stands",u PON the HILL the LO nely CA ri BOU stands,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,caribou,write a line in iambic pentameter including the word caribou ,"Upon the hill, the lonely caribou stands","Upon the hill, the lonely caribou stands",u PON the HILL the LO nely CA ri BOU stands,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
in iambic pentameter,,cassowary,write a line in iambic pentameter including the word cassowary ,"Along the dappled trails, the cassowary roams.","Along the dappled trails, the cassowary roams.",a LONG the DAP pled TRAILS the CAS so WA ry ROAMS,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,cassowary,write a line in iambic pentameter including the word cassowary ,"Along the dappled trails, the cassowary roams.","Along the dappled trails, the cassowary roams.",a LONG the DAP pled TRAILS the CAS so WA ry ROAMS,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,caterpillar,write a line in iambic pentameter including the word caterpillar ,The quiet caterpillar moves with grace unseen.,The quiet caterpillar moves with grace unseen.,the QUI et CA ter PIL lar MOVES with GRACE un SEEN,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,caterpillar,write a line in iambic pentameter including the word caterpillar ,The quiet caterpillar moves with grace unseen.,The quiet caterpillar moves with grace unseen.,the QUI et CA ter PIL lar MOVES with GRACE un SEEN,-+-+-+-+-+-+,-+-+-+-+-+-+,0.0,0,1
in iambic pentameter,,catfish,write a line in iambic pentameter including the word catfish ,"Beneath the surface, still the catfish moves","Beneath the surface, still the catfish moves",be NEATH the SUR face STILL the CA tfish MOVES,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
in iambic pentameter,,catfish,write a line in iambic pentameter including the word catfish ,"Beneath the surface, still the catfish moves","Beneath the surface, still the catfish moves",be NEATH the SUR face STILL the CA tfish MOVES,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
in iambic pentameter,,cheetah,write a line in iambic pentameter including the word cheetah ,"Upon the plains, the cheetah swiftly glides.","Upon the plains, the cheetah swiftly glides.",u PON the PLAINS the CHEE tah SWIF tly GLIDES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,cheetah,write a line in iambic pentameter including the word cheetah ,"Upon the plains, the cheetah swiftly glides.","Upon the plains, the cheetah swiftly glides.",u PON the PLAINS the CHEE tah SWIF tly GLIDES,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,chicken,write a line in iambic pentameter including the word chicken ,The chicken struts beneath the dawning light.,The chicken struts beneath the dawning light.,the CHIC ken STRUTS be NEATH the DAW ning LIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,chicken,write a line in iambic pentameter including the word chicken ,The chicken struts beneath the dawning light.,The chicken struts beneath the dawning light.,the CHIC ken STRUTS be NEATH the DAW ning LIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,chihuahua,write a line in iambic pentameter including the word chihuahua ,The faithful Chihuahua guards the silent night.,The faithful Chihuahua guards the silent night.,the FAIT hful CHI.HUA hua GUARDS the SI lent NIGHT,-+-++-+-+-+,-+-++-+-+-+,0.0,0,1
in iambic pentameter,,chihuahua,write a line in iambic pentameter including the word chihuahua ,The faithful Chihuahua guards the silent night.,The faithful Chihuahua guards the silent night.,the FAIT hful CHI.HUA hua GUARDS the SI lent NIGHT,-+-++-+-+-+,-+-++-+-+-+,0.0,0,1
in iambic pentameter,,chimpanzee,write a line in iambic pentameter including the word chimpanzee ,The chimpanzee beneath the moonlight plays.,The chimpanzee beneath the moonlight plays.,the.chim PAN zee.be NEATH the MOON light PLAYS,--+--+-+-+,--+--+-+++,3.0,3,4
in iambic pentameter,,chimpanzee,write a line in iambic pentameter including the word chimpanzee ,The chimpanzee beneath the moonlight plays.,The chimpanzee beneath the moonlight plays.,the.chim PAN zee.be NEATH the MOON light PLAYS,--+--+-+-+,--+--+-+++,3.0,3,4
in iambic pentameter,,chinchilla,write a line in iambic pentameter including the word chinchilla ,The moonlight casts upon the chinchilla's fur,The moonlight casts upon the chinchilla's fur,the MOON light CASTS u PON the CHINC hilla's FUR,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
in iambic pentameter,,chinchilla,write a line in iambic pentameter including the word chinchilla ,The moonlight casts upon the chinchilla's fur,The moonlight casts upon the chinchilla's fur,the MOON light CASTS u PON the CHINC hilla's FUR,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
in iambic pentameter,,chipmunk,write a line in iambic pentameter including the word chipmunk ,The chipmunk scurries through the autumn leaves.,The chipmunk scurries through the autumn leaves.,the CHI pmunk SCUR ries THROUGH the AU tumn LEAVES,-+-+-+-+-+,-+-+---+-+,1.0,1,2
in iambic pentameter,,chipmunk,write a line in iambic pentameter including the word chipmunk ,The chipmunk scurries through the autumn leaves.,The chipmunk scurries through the autumn leaves.,the CHI pmunk SCUR ries THROUGH the AU tumn LEAVES,-+-+-+-+-+,-+-+---+-+,1.0,1,2
in iambic pentameter,,clownfish,write a line in iambic pentameter including the word clownfish ,Beneath the coral swam the vibrant clownfish.,Beneath the coral swam the vibrant clownfish.,be NEATH the CO ral SWAM the VI brant CLOWN fish,-+-+-+-+-+-,-+-+-+-+-+-,0.0,0,1
in iambic pentameter,,clownfish,write a line in iambic pentameter including the word clownfish ,Beneath the coral swam the vibrant clownfish.,Beneath the coral swam the vibrant clownfish.,be NEATH the CO ral SWAM the VI brant CLOWN fish,-+-+-+-+-+-,-+-+-+-+-+-,0.0,0,1
in iambic pentameter,,cobra,write a line in iambic pentameter including the word cobra ,The silent strike of cobra in the night.,The silent strike of cobra in the night.,the SI lent STRIKE of CO bra IN the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,cobra,write a line in iambic pentameter including the word cobra ,The silent strike of cobra in the night.,The silent strike of cobra in the night.,the SI lent STRIKE of CO bra IN the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,cockatiel,write a line in iambic pentameter including the word cockatiel ,Upon the window sat the bright cockatiel.,Upon the window sat the bright cockatiel.,u PON the WIN dow SAT the BRIGHT.COC ka TIEL,-+-+-+-++-+,-+-+-+-++-+,1.0,1,3
