meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
of blank verse,,cat,write a line of blank verse including the word cat ,"The sleek black cat, a shadow in the night.
",,,,,,,
of blank verse,,dog,write a line of blank verse including the word dog ,"The faithful dog lay sleeping at my feet.
",,,,,,,
of blank verse,,giraffe,write a line of blank verse including the word giraffe ,"A graceful giraffe, neck reaching for the sun.
",,,,,,,
of blank verse,,gazelle,write a line of blank verse including the word gazelle ,"Across the plains, a graceful gazelle leaps.
",,,,,,,
of blank verse,,baboon,write a line of blank verse including the word baboon ,"A chattering baboon swung from the highest branch.
",,,,,,,
of blank verse,,raccoon,write a line of blank verse including the word raccoon ,"A masked raccoon, sleek and silent, crossed the lawn.
",,,,,,,
of blank verse,,macaw,write a line of blank verse including the word macaw ,"A flash of scarlet, then the macaw was gone.
",,,,,,,
of blank verse,,alpaca,write a line of blank verse including the word alpaca ,"Across the Andes, grazed a fluffy alpaca.
",,,,,,,
of blank verse,,hyena,write a line of blank verse including the word hyena ,"A laughing hyena cries beneath the moon.
",,,,,,,
of blank verse,,chinchilla,write a line of blank verse including the word chinchilla ,"A silent chinchilla, grey as winter's dawn, sat still.
",,,,,,,
of blank verse,,coyote,write a line of blank verse including the word coyote ,"The coyote howled a lonely, mournful sound.
",,,,,,,
of blank verse,,gorilla,write a line of blank verse including the word gorilla ,"A mighty gorilla beat his chest in rage.
",,,,,,,
of blank verse,,kangaroo,write a line of blank verse including the word kangaroo ,"Across the plains, a kangaroo did leap.
",,,,,,,
of blank verse,,platypus,write a line of blank verse including the word platypus ,"A curious platypus paddled in the stream.
",,,,,,,
of blank verse,,porcupine,write a line of blank verse including the word porcupine ,"A bristling porcupine, a sudden fear.
",,,,,,,
of blank verse,,pangolin,write a line of blank verse including the word pangolin ,"A pangolin, unseen, scales the moonlit tree.
",,,,,,,
of blank verse,,ocelot,write a line of blank verse including the word ocelot ,"The sleek ocelot moved silently through the night.
",,,,,,,
of blank verse,,lemur,write a line of blank verse including the word lemur ,"A gentle lemur leaps from branch to branch.
",,,,,,,
of blank verse,,lemming,write a line of blank verse including the word lemming ,"A tiny lemming, lost upon the ice.
",,,,,,,
of blank verse,,otter,write a line of blank verse including the word otter ,"An otter slides on silver, sleek and swift.
",,,,,,,
of blank verse,,parrot,write a line of blank verse including the word parrot ,"A scarlet parrot squawked upon the bough.
",,,,,,,
of blank verse,,squirrel,write a line of blank verse including the word squirrel ,"A flash of russet fur, the squirrel leaped.
",,,,,,,
of blank verse,with rhythmic variation,bear,write a line of blank verse including the word bear with rhythmic variation,"To bear this weight, a heavy, crushing load.
",,,,,,,
of blank verse,with rhythmic variation,whale,write a line of blank verse including the word whale with rhythmic variation,"A giant whale breached, then silently sank down.
",,,,,,,
of blank verse,with rhythmic variation,sloth,write a line of blank verse including the word sloth with rhythmic variation,"A heavy sloth, slow-climbing, drapes the bough.
",,,,,,,
of blank verse,with rhythmic variation,cat,write a line of blank verse including the word cat with rhythmic variation,"A sleek black cat, a shadow in the night.
",,,,,,,
of blank verse,with rhythmic variation,dog,write a line of blank verse including the word dog with rhythmic variation,"My faithful dog, a shadow at my heel.
",,,,,,,
of blank verse,with rhythmic variation,giraffe,write a line of blank verse including the word giraffe with rhythmic variation,"A graceful giraffe, its neck a question mark.
",,,,,,,
of blank verse,with rhythmic variation,gazelle,write a line of blank verse including the word gazelle with rhythmic variation,"A graceful gazelle leaps, light and free, across the plain.
",,,,,,,
of blank verse,with rhythmic variation,baboon,write a line of blank verse including the word baboon with rhythmic variation,"A chattering baboon, absurdly perched, surveyed the scene.
",,,,,,,
of blank verse,with rhythmic variation,raccoon,write a line of blank verse including the word raccoon with rhythmic variation,"A masked raccoon, swift shadow in the night.
",,,,,,,
of blank verse,with rhythmic variation,macaw,write a line of blank verse including the word macaw with rhythmic variation,"A flash of scarlet, emerald, azure, the macaw soared.
",,,,,,,
of blank verse,with rhythmic variation,alpaca,write a line of blank verse including the word alpaca with rhythmic variation,"The softest fleece, an alpaca's gentle wool.
",,,,,,,
of blank verse,with rhythmic variation,hyena,write a line of blank verse including the word hyena with rhythmic variation,"A laughing hyena, shadow in the night.
",,,,,,,
of blank verse,with rhythmic variation,chinchilla,write a line of blank verse including the word chinchilla with rhythmic variation,"A soft, gray chinchilla, a whisper of fur.
",,,,,,,
of blank verse,with rhythmic variation,coyote,write a line of blank verse including the word coyote with rhythmic variation,"A lone coyote howled beneath the moon, then ceased.
",,,,,,,
of blank verse,with rhythmic variation,gorilla,write a line of blank verse including the word gorilla with rhythmic variation,"A mighty gorilla, beating on its chest.
",,,,,,,
of blank verse,with rhythmic variation,kangaroo,write a line of blank verse including the word kangaroo with rhythmic variation,"A kangaroo, leaping, a blur of brown and grace.
",,,,,,,
of blank verse,with rhythmic variation,platypus,write a line of blank verse including the word platypus with rhythmic variation,"A curious platypus, paddling in the murk.
",,,,,,,
of blank verse,with rhythmic variation,porcupine,write a line of blank verse including the word porcupine with rhythmic variation,"A bristling porcupine, slow-footed, shy.
",,,,,,,
of blank verse,with rhythmic variation,pangolin,write a line of blank verse including the word pangolin with rhythmic variation,"A pangolin, unseen, disturbed the quiet night.
",,,,,,,
of blank verse,with rhythmic variation,ocelot,write a line of blank verse including the word ocelot with rhythmic variation,"A sleek ocelot, silent, shadows deep.
",,,,,,,
of blank verse,with rhythmic variation,lemur,write a line of blank verse including the word lemur with rhythmic variation,"A slow, deliberate lemur, high in the boughs.
",,,,,,,
of blank verse,with rhythmic variation,lemming,write a line of blank verse including the word lemming with rhythmic variation,"A tiny lemming, lost and all alone.
",,,,,,,
of blank verse,with rhythmic variation,otter,write a line of blank verse including the word otter with rhythmic variation,"A sleek, brown otter, sliding through the reeds.
",,,,,,,
of blank verse,with rhythmic variation,parrot,write a line of blank verse including the word parrot with rhythmic variation,"A scarlet parrot screeched, then fell quite still.
",,,,,,,
of blank verse,with rhythmic variation,squirrel,write a line of blank verse including the word squirrel with rhythmic variation,"A flash of russet fur, a darting squirrel.
",,,,,,,
of blank verse,with a trochaic inversion,bear,write a line of blank verse including the word bear with a trochaic inversion,"Bear now the weight of sorrow, heavy heart.
",,,,,,,
of blank verse,with a trochaic inversion,whale,write a line of blank verse including the word whale with a trochaic inversion,"Whale-song filled the ocean's vast expanse.
",,,,,,,
of blank verse,with a trochaic inversion,sloth,write a line of blank verse including the word sloth with a trochaic inversion,"Sloth, heavy-lidded, dreams of sun-drenched trees.
",,,,,,,
of blank verse,with a trochaic inversion,cat,write a line of blank verse including the word cat with a trochaic inversion,"Cat sat upon the mat, a furry king.
",,,,,,,
of blank verse,with a trochaic inversion,dog,write a line of blank verse including the word dog with a trochaic inversion,"Dog, loyal friend, beside me, ever true.
",,,,,,,
of blank verse,with a trochaic inversion,giraffe,write a line of blank verse including the word giraffe with a trochaic inversion,"Giraffe, a creature of the sun-drenched plains,
",,,,,,,
of blank verse,with a trochaic inversion,gazelle,write a line of blank verse including the word gazelle with a trochaic inversion,"Gazelle swift, the hunter's arrow flies.
",,,,,,,
of blank verse,with a trochaic inversion,baboon,write a line of blank verse including the word baboon with a trochaic inversion,"Baboons chattered, high in the branches old.
",,,,,,,
of blank verse,with a trochaic inversion,raccoon,write a line of blank verse including the word raccoon with a trochaic inversion,"Raccoon swift, the midnight forest roamed.
",,,,,,,
of blank verse,with a trochaic inversion,macaw,write a line of blank verse including the word macaw with a trochaic inversion,"Bright macaw, a flash of feathered fire.
",,,,,,,
of blank verse,with a trochaic inversion,alpaca,write a line of blank verse including the word alpaca with a trochaic inversion,"Alpaca, soft fleece, the mountain wind did blow.
",,,,,,,
of blank verse,with a trochaic inversion,hyena,write a line of blank verse including the word hyena with a trochaic inversion,"Hyena laughed, the moon a silver dime.
",,,,,,,
of blank verse,with a trochaic inversion,chinchilla,write a line of blank verse including the word chinchilla with a trochaic inversion,"Chinchilla soft, the twilight shadows fell.
",,,,,,,
of blank verse,with a trochaic inversion,coyote,write a line of blank verse including the word coyote with a trochaic inversion,"Coyote, swift and silent, shadows fell.
",,,,,,,
of blank verse,with a trochaic inversion,gorilla,write a line of blank verse including the word gorilla with a trochaic inversion,"Gorilla strong, the jungle shook with might.
",,,,,,,
