,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
13,in iambic pentameter,none,chinchilla,write a line in iambic pentameter including the word chinchilla ,A chinchilla darts through moonlit plains at night.,A chinchilla darts through moonlit plains at night.,a.chinc HIL la DARTS through MOON lit PLAINS at NIGHT,--+-+-+-+-+,--+-+-+++-+,2.0,2,2
14,in iambic pentameter,none,coyote,write a line in iambic pentameter including the word coyote ,The moonlight guides the cunning coyote's path.,The moonlight guides the cunning coyote's path.,the MOON light GUIDES the CUN ning.coy OTE'S path,-+-+-+--+-,-+++-+--++,3.0,3,4
15,in iambic pentameter,none,gorilla,write a line in iambic pentameter including the word gorilla ,The mighty gorilla guards the jungle's heart.,The mighty gorilla guards the jungle's heart.,the MIGH ty.go RIL la GUARDS the JUN gle's HEART,-+--+-+-+-+,-+--+-+-+-+,1.0,1,4
16,in iambic pentameter,none,kangaroo,write a line in iambic pentameter including the word kangaroo ,"Beneath the stars, the bounding kangaroo.","Beneath the stars, the bounding kangaroo.",be NEATH the STARS the BOUN ding KAN ga ROO,-+-+-+-+-+,-+-+-+-+-+,0,0,1
17,in iambic pentameter,none,platypus,write a line in iambic pentameter including the word platypus ,A lonely platypus glides through the still stream.,A lonely platypus glides through the still stream.,a LO nely PLA ty PUS.GLIDES through.the STILL stream,-+-+-++--+-,-+-+-++--++,2.0,2,4
19,in iambic pentameter,none,pangolin,write a line in iambic pentameter including the word pangolin ,"Beneath the moon, the pangolin does glide.","Beneath the moon, the pangolin does glide.",be NEATH the MOON the PAN go LIN does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
20,in iambic pentameter,none,ocelot,write a line in iambic pentameter including the word ocelot ,The sleek ocelot moves through shadows swift.,The sleek ocelot moves through shadows swift.,the SLEEK.O ce LOT.MOVES through SHA dows SWIFT,-++-++-+-+,-++-++-+++,3.0,3,7
21,in iambic pentameter,none,lemur,write a line in iambic pentameter including the word lemur ,The lemur leaps through trees with nimble grace.,The lemur leaps through trees with nimble grace.,the LE mur LEAPS through TREES with NIM ble GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
23,in iambic pentameter,none,otter,write a line in iambic pentameter including the word otter ,An otter glides beneath the moon's soft glow.,An otter glides beneath the moon's soft glow.,an OT ter GLIDES be NEATH the MOON'S soft GLOW,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
24,in iambic pentameter,none,parrot,write a line in iambic pentameter including the word parrot ,The parrot speaks with tones both harsh and sweet.,The parrot speaks with tones both harsh and sweet.,the PAR rot SPEAKS with TONES both HARSH and SWEET,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
25,in iambic pentameter,none,squirrel,write a line in iambic pentameter including the word squirrel ,The nimble squirrel climbs the ancient tree.,The nimble squirrel climbs the ancient tree.,the NIM ble SQUIR rel CLIMBS the AN cient TREE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
26,in iambic pentameter,with rhythmic variation,bear,write a line in iambic pentameter including the word bear with rhythmic variation,A weary bear does wander through the night.,A weary bear does wander through the night.,a WEA ry BEAR does WAN der THROUGH the NIGHT,-+-+-+-+-+,-+-+-+---+,1.0,1,1
27,in iambic pentameter,with rhythmic variation,whale,write a line in iambic pentameter including the word whale with rhythmic variation,"Beneath the waves, the mighty whale does roam.","Beneath the waves, the mighty whale does roam.",be NEATH the WAVES the MIGH ty WHALE does ROAM,-+-+-+-+-+,-+-+-+-+-+,0,0,1
28,in iambic pentameter,with rhythmic variation,sloth,write a line in iambic pentameter including the word sloth with rhythmic variation,"The sloth moves slowly, wrapped in time's embrace.","The sloth moves slowly, wrapped in time's embrace.",the SLOTH moves SLOW ly WRAPPED in TIME'S em BRACE,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
29,in iambic pentameter,with rhythmic variation,cat,write a line in iambic pentameter including the word cat with rhythmic variation,A silent cat now slinks through shadowed halls.,A silent cat now slinks through shadowed halls.,a SI lent CAT now SLINKS through SHA dowed HALLS,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
30,in iambic pentameter,with rhythmic variation,dog,write a line in iambic pentameter including the word dog with rhythmic variation,The faithful dog now bounds through fields of green.,The faithful dog now bounds through fields of green.,the FAIT hful DOG now BOUNDS through FIELDS of GREEN,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
31,in iambic pentameter,with rhythmic variation,giraffe,write a line in iambic pentameter including the word giraffe with rhythmic variation,"Beneath the trees, the giraffe softly strayed.","Beneath the trees, the giraffe softly strayed.",be NEATH the TREES THE gi RAFFE.SOF tly STRAYED,-+-++-++-+,-+-+--++-+,2.0,2,4
32,in iambic pentameter,with rhythmic variation,gazelle,write a line in iambic pentameter including the word gazelle with rhythmic variation,The graceful gazelle leaps through the verdant glade.,The graceful gazelle leaps through the verdant glade.,the GRA ceful.ga ZELLE.LEAPS through.the VER dant GLADE,-+--++--+-+,-+--++--+-+,2.0,2,6
33,in iambic pentameter,with rhythmic variation,baboon,write a line in iambic pentameter including the word baboon with rhythmic variation,The baboon swings through trees with playful delight.,The baboon swings through trees with playful delight.,the.ba BOON.SWINGS through TREES with PLAY ful.de LIGHT,--++-+-+--+,--++-+-+--+,3.0,3,6
34,in iambic pentameter,with rhythmic variation,raccoon,write a line in iambic pentameter including the word raccoon with rhythmic variation,A sly raccoon beneath the moonlight creeps.,A sly raccoon beneath the moonlight creeps.,a SLY rac COON be NEATH the MOON light CREEPS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
35,in iambic pentameter,with rhythmic variation,macaw,write a line in iambic pentameter including the word macaw with rhythmic variation,The vibrant calls of macaw pierce the dawn.,The vibrant calls of macaw pierce the dawn.,the VI brant CALLS of.ma CAW.PIERCE the DAWN,-+-+--++-+,-+-+--++-+,2.0,2,5
36,in iambic pentameter,with rhythmic variation,alpaca,write a line in iambic pentameter including the word alpaca with rhythmic variation,The wool of soft alpaca warms my soul.,The wool of soft alpaca warms my soul.,the WOOL of SOFT al PA ca WARMS my SOUL,-+-+-+-+-+,-+-+-+-+-+,0,0,1
37,in iambic pentameter,with rhythmic variation,hyena,write a line in iambic pentameter including the word hyena with rhythmic variation,The shadowed hyena creeps through night's thin veil.,The shadowed hyena creeps through night's thin veil.,the SHA dowed.hye N a CREEPS through NIGHT'S thin VEIL,-+--+-+-+-+,-+--+-+-+++,2.0,2,2
38,in iambic pentameter,with rhythmic variation,chinchilla,write a line in iambic pentameter including the word chinchilla with rhythmic variation,"Beneath the moon, the chinchilla softly stirs.","Beneath the moon, the chinchilla softly stirs.",be NEATH the MOON THE chinc HIL la SOF tly STIRS,-+-++-+-+-+,-+-+--+-+-+,1.0,1,2
40,in iambic pentameter,with rhythmic variation,gorilla,write a line in iambic pentameter including the word gorilla with rhythmic variation,A mighty gorilla rests beneath the shade.,A mighty gorilla rests beneath the shade.,a MIGH ty.go RIL la RESTS be NEATH the SHADE,-+--+-+-+-+,-+--+-+-+-+,1.0,1,4
41,in iambic pentameter,with rhythmic variation,kangaroo,write a line in iambic pentameter including the word kangaroo with rhythmic variation,A bounding kangaroo leaps through the soft haze.,A bounding kangaroo leaps through the soft haze.,a BOUN ding KAN ga ROO.LEAPS through.the SOFT haze,-+-+-++--+-,-+-+-++--++,2.0,2,4
42,in iambic pentameter,with rhythmic variation,platypus,write a line in iambic pentameter including the word platypus with rhythmic variation,"The platypus, it glides through streams unseen.","The platypus, it glides through streams unseen.",the PLA ty PUS it GLIDES through STREAMS un SEEN,-+-+-+-+-+,-+-+-+-+-+,0,0,1
43,in iambic pentameter,with rhythmic variation,porcupine,write a line in iambic pentameter including the word porcupine with rhythmic variation,A timid porcupine retreats at dusk.,A timid porcupine retreats at dusk.,a TI mid POR cu PINE re TREATS at DUSK,-+-+-+-+-+,-+-+-+-+-+,0,0,1
44,in iambic pentameter,with rhythmic variation,pangolin,write a line in iambic pentameter including the word pangolin with rhythmic variation,"The secret ways of night, the pangolin roams.","The secret ways of night, the pangolin roams.",the SE cret WAYS of NIGHT the PAN go LIN roams,-+-+-+-+-+-,-+-+-+-+-++,1.0,1,2
45,in iambic pentameter,with rhythmic variation,ocelot,write a line in iambic pentameter including the word ocelot with rhythmic variation,The shadowed ocelot prowls through the dense night.,The shadowed ocelot prowls through the dense night.,the SHA dowed O ce LOT.PROWLS through.the DENSE night,-+-+-++--+-,-+-+-++--++,2.0,2,4
46,in iambic pentameter,with rhythmic variation,lemur,write a line in iambic pentameter including the word lemur with rhythmic variation,A curious lemur leaps through shadowed trees.,A curious lemur leaps through shadowed trees.,a CU rio.us LE mur LEAPS through SHA dowed TREES,-+--+-+-+-+,-+--+-+-+-+,1.0,1,3
47,in iambic pentameter,with rhythmic variation,lemming,write a line in iambic pentameter including the word lemming with rhythmic variation,"A lemming halts, then leaps into the stream.","A lemming halts, then leaps into the stream.",a LEM ming HALTS then LEAPS in TO the STREAM,-+-+-+-+-+,-+-+-+-+-+,0,0,1
48,in iambic pentameter,with rhythmic variation,otter,write a line in iambic pentameter including the word otter with rhythmic variation,An otter darts through streams with playful grace.,An otter darts through streams with playful grace.,an OT ter DARTS through STREAMS with PLAY ful GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
49,in iambic pentameter,with rhythmic variation,parrot,write a line in iambic pentameter including the word parrot with rhythmic variation,The parrot speaks in tones of vibrant hue.,The parrot speaks in tones of vibrant hue.,the PAR rot SPEAKS in TONES of VI brant HUE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
50,in iambic pentameter,with rhythmic variation,squirrel,write a line in iambic pentameter including the word squirrel with rhythmic variation,A squirrel darts beneath the ancient tree.,A squirrel darts beneath the ancient tree.,a SQUIR rel DARTS be NEATH the AN cient TREE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
51,in iambic pentameter,with a trochaic inversion,bear,write a line in iambic pentameter including the word bear with a trochaic inversion,"Bearing the weight, the mountain stands unmoved.","Bearing the weight, the mountain stands unmoved.",BEA ring.the WEIGHT the MOUN tain STANDS un MOVED,+--+-+-+-+,+--+-+-+-+,1.0,1,2
52,in iambic pentameter,with a trochaic inversion,whale,write a line in iambic pentameter including the word whale with a trochaic inversion,A whale beneath the waves does gently glide.,A whale beneath the waves does gently glide.,a WHALE be NEATH the WAVES does GEN tly GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
53,in iambic pentameter,with a trochaic inversion,sloth,write a line in iambic pentameter including the word sloth with a trochaic inversion,"Sloth lingers here, where time forgets to move.","Sloth lingers here, where time forgets to move.",sloth LIN gers HERE where TIME for GETS to MOVE,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
54,in iambic pentameter,with a trochaic inversion,cat,write a line in iambic pentameter including the word cat with a trochaic inversion,"Upon the windowsill, the cat sat still.","Upon the windowsill, the cat sat still.",u PON the WIN dow SILL the CAT sat STILL,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
55,in iambic pentameter,with a trochaic inversion,dog,write a line in iambic pentameter including the word dog with a trochaic inversion,Bold dog that braves the night's eternal shroud.,Bold dog that braves the night's eternal shroud.,bold DOG that BRAVES the NIGHT'S e TER nal SHROUD,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
56,in iambic pentameter,with a trochaic inversion,giraffe,write a line in iambic pentameter including the word giraffe with a trochaic inversion,"Upon the plains, the graceful giraffe roams free.","Upon the plains, the graceful giraffe roams free.",u PON the PLAINS the GRA ceful.gi RAFFE roams FREE,-+-+-+--+-+,-+-+-+--+++,2.0,2,4
58,in iambic pentameter,with a trochaic inversion,baboon,write a line in iambic pentameter including the word baboon with a trochaic inversion,"Upon the branch, the baboon softly rests.","Upon the branch, the baboon softly rests.",u PON the BRANCH THE ba BOON.SOF tly RESTS,-+-++-++-+,-+-+--++-+,2.0,2,4
59,in iambic pentameter,with a trochaic inversion,raccoon,write a line in iambic pentameter including the word raccoon with a trochaic inversion,"Beneath the moon, the sly raccoon does creep.","Beneath the moon, the sly raccoon does creep.",be NEATH the MOON the SLY rac COON does CREEP,-+-+-+-+-+,-+-+-+-+-+,0,0,1
60,in iambic pentameter,with a trochaic inversion,macaw,write a line in iambic pentameter including the word macaw with a trochaic inversion,A vibrant macaw speaks with colors so bright.,A vibrant macaw speaks with colors so bright.,a VI brant.ma CAW.SPEAKS with CO lors.so BRIGHT,-+--++-+--+,-+--++-+--+,3.0,3,5
61,in iambic pentameter,with a trochaic inversion,alpaca,write a line in iambic pentameter including the word alpaca with a trochaic inversion,The gentle alpaca grazes on the hill.,The gentle alpaca grazes on the hill.,the GEN tle.al PA ca GRA zes ON the HILL,-+--+-+-+-+,-+--+-+---+,2.0,2,4
62,in iambic pentameter,with a trochaic inversion,hyena,write a line in iambic pentameter including the word hyena with a trochaic inversion,Hyena prowls beneath the waning moon.,Hyena prowls beneath the waning moon.,hye N a PROWLS be NEATH the WA ning MOON,-+-+-+-+-+,-+-+-+-+-+,0,0,1
63,in iambic pentameter,with a trochaic inversion,hyena,write a line in iambic pentameter including the word hyena with a trochaic inversion,Hyena prowls beneath the waning moon.,Hyena prowls beneath the waning moon.,hye N a PROWLS be NEATH the WA ning MOON,-+-+-+-+-+,-+-+-+-+-+,0,0,1
64,in iambic pentameter,with a trochaic inversion,chinchilla,write a line in iambic pentameter including the word chinchilla with a trochaic inversion,A chinchilla leaps through dusky twilight skies.,A chinchilla leaps through dusky twilight skies.,a.chinc HIL la LEAPS through DUS ky TWI light SKIES,--+-+-+-+-+,--+-+-+-+++,2.0,2,2
65,in iambic pentameter,with a trochaic inversion,coyote,write a line in iambic pentameter including the word coyote with a trochaic inversion,Coyote calls beneath the silver moon.,Coyote calls beneath the silver moon.,coy O te CALLS be NEATH the SIL ver MOON,-+-+-+-+-+,-+-+-+-+-+,0,0,2
66,in iambic pentameter,with a trochaic inversion,gorilla,write a line in iambic pentameter including the word gorilla with a trochaic inversion,Gorilla stands beneath the moon's soft glow.,Gorilla stands beneath the moon's soft glow.,go RIL la STANDS be NEATH the MOON'S soft GLOW,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
67,in iambic pentameter,with a trochaic inversion,kangaroo,write a line in iambic pentameter including the word kangaroo with a trochaic inversion,A kangaroo leaps high through moonlit skies.,A kangaroo leaps high through moonlit skies.,a KAN ga ROO leaps HIGH through MOON lit SKIES,-+-+-+-+-+,-+-+++-+++,2.0,2,1
68,in iambic pentameter,with a trochaic inversion,platypus,write a line in iambic pentameter including the word platypus with a trochaic inversion,"Upon the shore, a *platypus* does glide.","Upon the shore, a *platypus* does glide.",u PON the SHORE a PLA ty PUS does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
69,in iambic pentameter,with a trochaic inversion,porcupine,write a line in iambic pentameter including the word porcupine with a trochaic inversion,"Upon the path, a porcupine did roam.","Upon the path, a porcupine did roam.",u PON the PATH a POR cu PINE did ROAM,-+-+-+-+-+,-+-+-+-+-+,0,0,1
70,in iambic pentameter,with a trochaic inversion,pangolin,write a line in iambic pentameter including the word pangolin with a trochaic inversion,A pangolin beneath the moonlight creeps.,A pangolin beneath the moonlight creeps.,a PAN go LIN be NEATH the MOON light CREEPS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
71,in iambic pentameter,with a trochaic inversion,pangolin,write a line in iambic pentameter including the word pangolin with a trochaic inversion,A pangolin beneath the moonlight creeps.,A pangolin beneath the moonlight creeps.,a PAN go LIN be NEATH the MOON light CREEPS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
72,in iambic pentameter,with a trochaic inversion,ocelot,write a line in iambic pentameter including the word ocelot with a trochaic inversion,"Ocelot prowls through shadows, silent and sleek.","Ocelot prowls through shadows, silent and sleek.",O ce LOT.PROWLS through SHA.DOWS SI lent.and SLEEK,+-++-+++--+,+-++-+++--+,2.0,2,12
73,in iambic pentameter,with a trochaic inversion,lemur,write a line in iambic pentameter including the word lemur with a trochaic inversion,A lemur leaps beneath the moonlit sky.,A lemur leaps beneath the moonlit sky.,a LE mur LEAPS be NEATH the MOON lit SKY,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
74,in iambic pentameter,with a trochaic inversion,lemming,write a line in iambic pentameter including the word lemming with a trochaic inversion,"Lemming, bold, defies the edge's final call.","Lemming, bold, defies the edge's final call.",LEM ming de FIES the ED ge's FI nal CALL,+--+-+-+-+,+--+-+-+-+,0,0,1
75,in iambic pentameter,with a trochaic inversion,otter,write a line in iambic pentameter including the word otter with a trochaic inversion,"By rivers' edge, the otter swiftly glides.","By rivers' edge, the otter swiftly glides.",by RIVERS' edge the OT ter SWIF tly GLIDES,-+--+-+-+,-++-+-+-+,1.0,1,2
76,in iambic pentameter,with a trochaic inversion,parrot,write a line in iambic pentameter including the word parrot with a trochaic inversion,"A parrot speaks, its voice a bright charade.","A parrot speaks, its voice a bright charade.",a PAR rot SPEAKS its VOICE a BRIGHT cha RADE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
77,in iambic pentameter,with a trochaic inversion,squirrel,write a line in iambic pentameter including the word squirrel with a trochaic inversion,Squirrel dashes through the trees with nimble leaps.,Squirrel dashes through the trees with nimble leaps.,SQUIR rel DAS hes THROUGH the TREES with NIM ble LEAPS,+-+-+-+-+-+,+-+---+-+-+,1.0,1,2
78,in iambic pentameter,with a trochaic inversion after a caesura,bear,write a line in iambic pentameter including the word bear with a trochaic inversion after a caesura,The cold winds howl; bear forth the heavy night.,The cold winds howl; bear forth the heavy night.,the COLD winds HOWL bear FORTH the HEA vy NIGHT,-+-+-+-+-+,-+++++-+-+,2.0,2,2
79,in iambic pentameter,with a trochaic inversion after a caesura,whale,write a line in iambic pentameter including the word whale with a trochaic inversion after a caesura,"Beneath the waves, a whale did softly sing.","Beneath the waves, a whale did softly sing.",be NEATH the WAVES a WHALE did SOF tly SING,-+-+-+-+-+,-+-+-+-+-+,0,0,1
80,in iambic pentameter,with a trochaic inversion after a caesura,sloth,write a line in iambic pentameter including the word sloth with a trochaic inversion after a caesura,"Beneath the boughs, // a sloth slow crawls through shade.","Beneath the boughs, // a sloth slow crawls through shade.",be NEATH the BOUGHS a SLOTH slow CRAWLS through SHADE,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
81,in iambic pentameter,with a trochaic inversion after a caesura,cat,write a line in iambic pentameter including the word cat with a trochaic inversion after a caesura,The moonlight glows; a *cat* leaps swiftly near.,The moonlight glows; a *cat* leaps swiftly near.,the MOON light GLOWS a CAT leaps SWIF tly NEAR,-+-+-+-+-+,-+++-+++-+,2.0,2,1
82,in iambic pentameter,with a trochaic inversion after a caesura,dog,write a line in iambic pentameter including the word dog with a trochaic inversion after a caesura,The night was still; behind me barked the  **dog.**,The night was still; behind me barked the  **dog.**,the NIGHT was STILL be HIND me BARKED the DOG,-+-+-+-+-+,-+-+-+-+-+,0,0,1
83,in iambic pentameter,with a trochaic inversion after a caesura,giraffe,write a line in iambic pentameter including the word giraffe with a trochaic inversion after a caesura,"Beneath the sun, the tall giraffe does stride.","Beneath the sun, the tall giraffe does stride.",be NEATH the SUN the TALL gi RAFFE does STRIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
84,in iambic pentameter,with a trochaic inversion after a caesura,gazelle,write a line in iambic pentameter including the word gazelle with a trochaic inversion after a caesura,"Beneath the moon, the graceful gazelle bounds.","Beneath the moon, the graceful gazelle bounds.",be NEATH the MOON the GRA ceful.ga ZELLE bounds,-+-+-+--+-,-+-+-+--++,2.0,2,6
85,in iambic pentameter,with a trochaic inversion after a caesura,baboon,write a line in iambic pentameter including the word baboon with a trochaic inversion after a caesura,The jungle stirs; a baboon cries aloud.,The jungle stirs; a baboon cries aloud.,the JUN gle STIRS A ba BOON.CRIES a LOUD,-+-++-++-+,-+-+--++-+,2.0,2,4
86,in iambic pentameter,with a trochaic inversion after a caesura,raccoon,write a line in iambic pentameter including the word raccoon with a trochaic inversion after a caesura,"Beneath the moon, the sly raccoon prowls near.","Beneath the moon, the sly raccoon prowls near.",be NEATH the MOON the SLY rac COON prowls NEAR,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
87,in iambic pentameter,with a trochaic inversion after a caesura,macaw,write a line in iambic pentameter including the word macaw with a trochaic inversion after a caesura,"Beneath the canopy, the macaw calls.","Beneath the canopy, the macaw calls.",be NEATH the CA no PY THE ma CAW calls,-+-+-++-+-,-+-+----++,3.0,3,12
89,in iambic pentameter,with a trochaic inversion after a caesura,hyena,write a line in iambic pentameter including the word hyena with a trochaic inversion after a caesura,The sun descends; // hyéna stalks its prey.,The sun descends; // hyéna stalks its prey.,the SUN des CENDS hyé NA.STALKS its PREY,-+-+-++-+,-+-+-++-+,1.0,1,3
90,in iambic pentameter,with a trochaic inversion after a caesura,chinchilla,write a line in iambic pentameter including the word chinchilla with a trochaic inversion after a caesura,The moonlight falls; chinchilla leaps with grace.,The moonlight falls; chinchilla leaps with grace.,the MOON light FALLS chinc HIL la LEAPS with GRACE,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
91,in iambic pentameter,with a trochaic inversion after a caesura,coyote,write a line in iambic pentameter including the word coyote with a trochaic inversion after a caesura,The moonlight fades; coyote stalks the night.,The moonlight fades; coyote stalks the night.,the MOON light FADES coy O te STALKS the NIGHT,-+-+-+-+-+,-+++-+-+-+,1.0,1,2
92,in iambic pentameter,with a trochaic inversion after a caesura,gorilla,write a line in iambic pentameter including the word gorilla with a trochaic inversion after a caesura,The jungle sleeps; gorílla stalks the night.,The jungle sleeps; gorílla stalks the night.,the JUN gle SLEEPS go RÍL la STALKS the NIGHT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
93,in iambic pentameter,with a trochaic inversion after a caesura,kangaroo,write a line in iambic pentameter including the word kangaroo with a trochaic inversion after a caesura,"Beneath the moon, I pause; a **kangaroo**, springs.","Beneath the moon, I pause; a **kangaroo**, springs.",be NEATH the MOON i PAUSE a KAN ga ROO spr INGS,-+-+-+-+-+-+,-+-+-+-+-+-+,0,0,2
97,in iambic pentameter,with a trochaic inversion after a caesura,ocelot,write a line in iambic pentameter including the word ocelot with a trochaic inversion after a caesura,"Beneath the moon, the ocelot now prowls.","Beneath the moon, the ocelot now prowls.",be NEATH the MOON the O ce LOT now PROWLS,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
98,in iambic pentameter,with a trochaic inversion after a caesura,lemur,write a line in iambic pentameter including the word lemur with a trochaic inversion after a caesura,The moonlit trees conceal their lemur eyes.,The moonlit trees conceal their lemur eyes.,the MOON lit TREES con CEAL their LE mur EYES,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
99,in iambic pentameter,with a trochaic inversion after a caesura,lemming,write a line in iambic pentameter including the word lemming with a trochaic inversion after a caesura,The fearless lemming leaps; defies the brink.,The fearless lemming leaps; defies the brink.,the FEAR less LEM ming LEAPS de FIES the BRINK,-+-+-+-+-+,-+-+-+-+-+,0,0,1
100,in iambic pentameter,with a trochaic inversion after a caesura,otter,write a line in iambic pentameter including the word otter with a trochaic inversion after a caesura,"Beneath the moon, the otter dives with grace.","Beneath the moon, the otter dives with grace.",be NEATH the MOON the OT ter DIVES with GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
101,in iambic pentameter,with a trochaic inversion after a caesura,parrot,write a line in iambic pentameter including the word parrot with a trochaic inversion after a caesura,The cage now still; // parrot sings no more.,The cage now still; // parrot sings no more.,the CAGE now STILL PAR rot SINGS no MORE,-+-++-+-+,-++++-+++,2.0,2,2
103,in iambic pentameter,with an inverted metrical foot,bear,write a line in iambic pentameter including the word bear with an inverted metrical foot,With heavy steps the bear retreats at dawn.,With heavy steps the bear retreats at dawn.,with HEA vy STEPS the BEAR re TREATS at DAWN,-+-+-+-+-+,-+-+-+-+-+,0,0,1
104,in iambic pentameter,with an inverted metrical foot,whale,write a line in iambic pentameter including the word whale with an inverted metrical foot,"Upon the sea, a whale does softly glide.","Upon the sea, a whale does softly glide.",u PON the SEA a WHALE does SOF tly GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
105,in iambic pentameter,with an inverted metrical foot,sloth,write a line in iambic pentameter including the word sloth with an inverted metrical foot,A sloth ascends the tree with gentle grace.,A sloth ascends the tree with gentle grace.,a SLOTH as CENDS the TREE with GEN tle GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
