,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
121,in iambic pentameter,with a trochaic inversion,hate,write a line in iambic pentameter including the word hate with a trochaic inversion,Hate consumes my heart each silent night.,Hate consumes my heart each silent night.,HATE con SUMES my HEART each SI lent NIGHT,+-+-+-+-+,+-+-+-+-+,0,0,1
126,in iambic pentameter,with a trochaic inversion,beginning,write a line in iambic pentameter including the word beginning with a trochaic inversion,The evening shadows softly kiss the night.,The evening shadows softly kiss the night.,the E vening SHA dows SOF tly KISS the NIGHT,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
131,in iambic pentameter,with a trochaic inversion,ultimate,write a line in iambic pentameter including the word ultimate with a trochaic inversion,Ultimate dreams ascend the night's embrace.,Ultimate dreams ascend the night's embrace.,UL ti.mate DREAMS as CEND the NIGHT'S em BRACE,+--+-+-+-+,+--+-+-+-+,1.0,1,3
136,in iambic pentameter,with a trochaic inversion,reason,write a line in iambic pentameter including the word reason with a trochaic inversion,Reason whispers in the silent night.,Reason whispers in the silent night.,REA son WHIS pers IN the SI lent NIGHT,+-+-+-+-+,+-+-+-+-+,0,0,1
141,in iambic pentameter,with a trochaic inversion,deceit,write a line in iambic pentameter including the word deceit with a trochaic inversion,Darkness falls where trust is torn by deceit.,Darkness falls where trust is torn by deceit.,DAR kness FALLS where TRUST is TORN by.de CEIT,+-+-+-+--+,+-+-+-+--+,1.0,1,3
146,in iambic pentameter,with a trochaic inversion after a caesura,sorrow,write a line in iambic pentameter including the word sorrow with a trochaic inversion after a caesura,And through the dark—sorrow fills my heart.,,,,,,,
147,in iambic pentameter,with a trochaic inversion after a caesura,lament,write a line in iambic pentameter including the word lament with a trochaic inversion after a caesura,Through silent night | Lament whispers low.,Through silent night | Lament whispers low.,through SI lent NIGHT la MENT.WHIS pers LOW,-+-+-++-+,-+-+-++-+,1.0,1,4
152,in iambic pentameter,with a trochaic inversion after a caesura,truth,write a line in iambic pentameter including the word truth with a trochaic inversion after a caesura,"In silent nights, the truth reveals its light","In silent nights, the truth reveals its light",in SI lent NIGHTS the TRUTH re VEALS its LIGHT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
157,in iambic pentameter,with a trochaic inversion after a caesura,lie,write a line in iambic pentameter including the word lie with a trochaic inversion after a caesura,"When evening falls, the weary stars lie low","When evening falls, the weary stars lie low",when E vening FALLS the WEA ry STARS lie LOW,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
162,in iambic pentameter,with a trochaic inversion after a caesura,love,write a line in iambic pentameter including the word love with a trochaic inversion after a caesura,"The world turns dark, Love shines its gentle light","The world turns dark, Love shines its gentle light",the WORLD turns DARK love SHINES its GEN tle LIGHT,-+-+-+-+-+,-+++++-+-+,2.0,2,2
167,in iambic pentameter,with a trochaic inversion after a caesura,hate,write a line in iambic pentameter including the word hate with a trochaic inversion after a caesura,"The evening shadows cast, Hate grips my weary heart.","The evening shadows cast, Hate grips my weary heart.",the E vening SHA dows CAST hate GRIPS my WEA ry HEART,-+-+-+-+-+-+,-+-+++++-+-+,2.0,2,4
172,in iambic pentameter,with a trochaic inversion after a caesura,beginning,write a line in iambic pentameter including the word beginning with a trochaic inversion after a caesura,"Twilight descends, Beginning shadows fall","Twilight descends, Beginning shadows fall",twi LIGHT des CENDS be GIN ning SHA dows FALL,-+-+-+-+-+,++-+-+-+++,2.0,2,4
177,in iambic pentameter,with a trochaic inversion after a caesura,ultimate,write a line in iambic pentameter including the word ultimate with a trochaic inversion after a caesura,Beyond the clouds — Ultimate peace awaits,,,,,,,
178,in iambic pentameter,with a trochaic inversion after a caesura,reason,write a line in iambic pentameter including the word reason with a trochaic inversion after a caesura,"Between the stars, Reason's light shines ever bright","Between the stars, Reason's light shines ever bright",be TWEEN the STARS REA son's LIGHT shines E ver BRIGHT,-+-++-+-+-+,-+-++-+++-+,1.0,1,1
183,in iambic pentameter,with a trochaic inversion after a caesura,deceit,write a line in iambic pentameter including the word deceit with a trochaic inversion after a caesura,"Upon the hill, deceit cloaks the silver night","Upon the hill, deceit cloaks the silver night",u PON the HILL de CEIT.CLOAKS the SIL ver NIGHT,-+-+-++-+-+,-+-+-++-+-+,1.0,1,3
188,in iambic pentameter,with an inverted foot,sorrow,write a line in iambic pentameter including the word sorrow with an inverted foot,"Sorrow drapes the night, and brings the dawn's soft light.","Sorrow drapes the night, and brings the dawn's soft light.",SOR row DRAPES the NIGHT and BRINGS the DAWN'S soft LIGHT,+-+-+-+-+-+,+-+-+-+-+++,1.0,1,1
193,in iambic pentameter,with an inverted foot,lament,write a line in iambic pentameter including the word lament with an inverted foot,"Beneath the moon, I deeply lament the night.","Beneath the moon, I deeply lament the night.",be NEATH the MOON i DEE ply.la MENT the NIGHT,-+-+-+--+-+,-+-+-+--+-+,1.0,1,2
198,in iambic pentameter,with an inverted foot,truth,write a line in iambic pentameter including the word truth with an inverted foot,Hidden truth lies veiled beneath the moonlight.,Hidden truth lies veiled beneath the moonlight.,HID den TRUTH lies VEILED be NEATH the MOON light,+-+-+-+-+-,+-+++-+-++,2.0,2,2
203,in iambic pentameter,with an inverted foot,lie,write a line in iambic pentameter including the word lie with an inverted foot,The weary soul finds peace where shadows lie.,The weary soul finds peace where shadows lie.,the WEA ry SOUL finds PEACE where SHA dows LIE,-+-+-+-+-+,-+-+++-+++,2.0,2,2
208,in iambic pentameter,with an inverted foot,love,write a line in iambic pentameter including the word love with an inverted foot,Love's gentle whispers soothe the restless night.,Love's gentle whispers soothe the restless night.,love's GEN tle WHIS pers SOOTHE the RES tless NIGHT,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
213,in iambic pentameter,with an inverted foot,hate,write a line in iambic pentameter including the word hate with an inverted foot,"Beneath the moon, I harbor deep hate's flame.","Beneath the moon, I harbor deep hate's flame.",be NEATH the MOON i HAR bor DEEP hate's FLAME,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
218,in iambic pentameter,with an inverted foot,beginning,write a line in iambic pentameter including the word beginning with an inverted foot,Golden sunlight filters through the trees,Golden sunlight filters through the trees,GOL den SUN light FIL ters THROUGH the TREES,+-+-+-+-+,+-+++---+,2.0,2,1
223,in iambic pentameter,with an inverted foot,ultimate,write a line in iambic pentameter including the word ultimate with an inverted foot,"Amid the ultimate dusk, the stars align","Amid the ultimate dusk, the stars align",a MID the UL ti.mate DUSK the STARS a LIGN,-+-+--+-+-+,-+-+--+-+-+,1.0,1,3
228,in iambic pentameter,with an inverted foot,reason,write a line in iambic pentameter including the word reason with an inverted foot,Reason guides us through the darkest night,Reason guides us through the darkest night,REA son GUIDES us THROUGH the DAR kest NIGHT,+-+-+-+-+,+-+---+-+,1.0,1,1
233,in iambic pentameter,with an inverted foot,deceit,write a line in iambic pentameter including the word deceit with an inverted foot,Deceit dances where the hidden shadows lie.,Deceit dances where the hidden shadows lie.,de CEIT.DAN ces WHERE the HID den SHA dows LIE,-++-+-+-+-+,-++-+-+-+++,2.0,2,9
238,in iambic pentameter,with a trochaic inversion at the end of the line,sorrow,write a line in iambic pentameter including the word sorrow with a trochaic inversion at the end of the line,The stars above reveal my heart’s sorrow,,,,,,,
239,in iambic pentameter,with a trochaic inversion at the end of the line,lament,write a line in iambic pentameter including the word lament with a trochaic inversion at the end of the line,The evening sky reflects my haunting lament.,The evening sky reflects my haunting lament.,the E vening SKY re FLECTS my HAUN ting.la MENT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,4
244,in iambic pentameter,with a trochaic inversion at the end of the line,truth,write a line in iambic pentameter including the word truth with a trochaic inversion at the end of the line,"In shadows deep, we hold the steadfast truth","In shadows deep, we hold the steadfast truth",in SHA dows DEEP we HOLD the STEA dfast TRUTH,-+-+-+-+-+,-+++-+-+++,2.0,2,3
249,in iambic pentameter,with a trochaic inversion at the end of the line,lie,write a line in iambic pentameter including the word lie with a trochaic inversion at the end of the line,Upon the twilight's edge our truths lie still.,Upon the twilight's edge our truths lie still.,u PON the TWI light's EDGE our TRUTHS lie STILL,-+-+-+-+-+,-+-+-+-+++,1.0,1,1
254,in iambic pentameter,with a trochaic inversion at the end of the line,love,write a line in iambic pentameter including the word love with a trochaic inversion at the end of the line,"In silent nights, our souls entwined through love's embrace.","In silent nights, our souls entwined through love's embrace.",in SI lent NIGHTS our SOULS en TWINED through LOVE'S em BRACE,-+-+-+-+-+-+,-+-+-+-+-+-+,0,0,1
259,in iambic pentameter,with a trochaic inversion at the end of the line,hate,write a line in iambic pentameter including the word hate with a trochaic inversion at the end of the line,"Within my heart, the seeds of hate do grow.","Within my heart, the seeds of hate do grow.",wit HIN my HEART the SEEDS of HATE do GROW,-+-+-+-+-+,-+-+-+-+-+,0,0,1
264,in iambic pentameter,with a trochaic inversion at the end of the line,beginning,write a line in iambic pentameter including the word beginning with a trochaic inversion at the end of the line,"Upon the dawn, a fresh new **BEginning** starts","Upon the dawn, a fresh new **BEginning** starts",u PON the DAWN a FRESH.NEW be GIN ning STARTS,-+-+-++-+-+,-+-+-++-+-+,1.0,1,2
269,in iambic pentameter,with a trochaic inversion at the end of the line,ultimate,write a line in iambic pentameter including the word ultimate with a trochaic inversion at the end of the line,We search to find the ultimate solace,We search to find the ultimate solace,we SEARCH to FIND the UL ti.mate SO lace,-+-+-+--+-,-+-+-+--+-,1.0,1,3
274,in iambic pentameter,with a trochaic inversion at the end of the line,reason,write a line in iambic pentameter including the word reason with a trochaic inversion at the end of the line,My spirit thrives upon the strength of reason,My spirit thrives upon the strength of reason,my SPI rit THRIVES u PON the STRENGTH of REA son,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
279,in iambic pentameter,with a trochaic inversion at the end of the line,deceit,write a line in iambic pentameter including the word deceit with a trochaic inversion at the end of the line,His heart betrayed by whispers of deceit.,His heart betrayed by whispers of deceit.,his HEART be TRAYED by WHIS pers OF de CEIT,-+-+-+-+-+,-+-+-+---+,1.0,1,1
284,of blank verse,,sorrow,write a line of blank verse including the word sorrow ,"Upon the dawn, I bear the cloak of sorrow.","Upon the dawn, I bear the cloak of sorrow.",u PON the DAWN i BEAR the CLOAK of SOR row,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
289,of blank verse,,lament,write a line of blank verse including the word lament ,"Beneath the stars, she offers her lone lament.","Beneath the stars, she offers her lone lament.",be NEATH the STARS she OF fers.her LONE la MENT,-+-+-+--+-+,-+-+-+--+-+,1.0,1,2
294,of blank verse,,truth,write a line of blank verse including the word truth ,"Through shadows deep, the steadfast truth remains.","Through shadows deep, the steadfast truth remains.",through SHA dows DEEP the STEA dfast TRUTH re MAINS,-+-+-+-+-+,-+++-+++-+,2.0,2,2
299,of blank verse,,lie,write a line of blank verse including the word lie ,"In shadows deep, the whispered secrets lie.","In shadows deep, the whispered secrets lie.",in SHA dows DEEP the WHIS pered SE crets LIE,-+-+-+-+-+,-+++-+-+-+,1.0,1,3
304,of blank verse,,love,write a line of blank verse including the word love ,Love's quiet strength endures the darkest night.,Love's quiet strength endures the darkest night.,love's QUI et STRENGTH en DURES the DAR kest NIGHT,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
309,of blank verse,,hate,write a line of blank verse including the word hate ,"Beneath the moonlight, shadows whisper streams of hate.","Beneath the moonlight, shadows whisper streams of hate.",be NEATH the MOON light SHA dows WHIS per STREAMS of HATE,-+-+-+-+-+-+,-+-+++++-+-+,2.0,2,4
314,of blank verse,,beginning,write a line of blank verse including the word beginning ,"At long last, we reach the beginning's edge.","At long last, we reach the beginning's edge.",at LONG last we REACH the.be GIN ning's EDGE,-+--+--+-+,-++-+--+-+,2.0,2,8
319,of blank verse,,ultimate,write a line of blank verse including the word ultimate ,The ultimate truth shines through the darkest night.,The ultimate truth shines through the darkest night.,the UL ti MATE truth SHINES through.the DAR kest NIGHT,-+-+-+--+-+,-+--++--+-+,2.0,2,2
324,of blank verse,,reason,write a line of blank verse including the word reason ,"Deep in the forest's heart, we seek our reason.","Deep in the forest's heart, we seek our reason.",DEEP in.the FO rest's HEART we SEEK our REA son,+--+-+-+-+-,+--+-+-+-+-,0,0,1
329,of blank verse,,deceit,write a line of blank verse including the word deceit ,"Beneath the stars, the night conceals its deceit.","Beneath the stars, the night conceals its deceit.",be NEATH the STARS the NIGHT con CEALS its.de CEIT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,3
334,of blank verse,with rhythmic variation,sorrow,write a line of blank verse including the word sorrow with rhythmic variation,"Through twilight's veil, he walked with quiet sorrow.","Through twilight's veil, he walked with quiet sorrow.",through TWI light's VEIL he WALKED with QUI et SOR row,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
339,of blank verse,with rhythmic variation,lament,write a line of blank verse including the word lament with rhythmic variation,"Beneath the silent stars, my heart does lament","Beneath the silent stars, my heart does lament",be NEATH the SI lent STARS my HEART does.la MENT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,4
344,of blank verse,with rhythmic variation,truth,write a line of blank verse including the word truth with rhythmic variation,"Beneath the moonlit veil, our truth takes flight.","Beneath the moonlit veil, our truth takes flight.",be NEATH the MOON lit VEIL our TRUTH takes FLIGHT,-+-+-+-+-+,-+-+++-+++,2.0,2,1
349,of blank verse,with rhythmic variation,lie,write a line of blank verse including the word lie with rhythmic variation,"Upon the twilight's edge, the shadows lie.","Upon the twilight's edge, the shadows lie.",u PON the TWI light's EDGE the SHA dows LIE,-+-+-+-+-+,-+-+-+-+++,1.0,1,2
354,of blank verse,with rhythmic variation,love,write a line of blank verse including the word love with rhythmic variation,Love dances gently through the midnight breeze.,Love dances gently through the midnight breeze.,love DAN ces GEN tly THROUGH the MI dnight BREEZE,-+-+-+-+-+,++-+---+++,3.0,3,2
359,of blank verse,with rhythmic variation,hate,write a line of blank verse including the word hate with rhythmic variation,"Within his soul, the heavy chains of hate.","Within his soul, the heavy chains of hate.",wit HIN his SOUL the HEA vy CHAINS of HATE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
364,of blank verse,with rhythmic variation,beginning,write a line of blank verse including the word beginning with rhythmic variation,"At the beginning, dawn breaks through the mist.","At the beginning, dawn breaks through the mist.",at THE be GIN ning dawn BREAKS through.the MIST,-+-+--+--+,---+-++--+,2.0,2,4
369,of blank verse,with rhythmic variation,ultimate,write a line of blank verse including the word ultimate with rhythmic variation,The ultimate truth lies hidden in time,The ultimate truth lies hidden in time,the UL ti.mate TRUTH lies HID den IN time,-+--+-+-+-,-+--+++-++,3.0,3,17
374,of blank verse,with rhythmic variation,reason,write a line of blank verse including the word reason with rhythmic variation,"Beneath the moon, I seek the truth of reason’s glow.",,,,,,,
375,of blank verse,with rhythmic variation,deceit,write a line of blank verse including the word deceit with rhythmic variation,Upon the shadows cast by dark deceit.,Upon the shadows cast by dark deceit.,u PON the SHA dows CAST by DARK de CEIT,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
380,of blank verse,with a trochaic inversion,sorrow,write a line of blank verse including the word sorrow with a trochaic inversion,Sorrow lingers in the whispering trees tonight.,Sorrow lingers in the whispering trees tonight.,SOR row LIN gers IN the WHIS pe.ring TREES to NIGHT,+-+-+-+--+-+,+-+-+-+--+-+,1.0,1,3
385,of blank verse,with a trochaic inversion,lament,write a line of blank verse including the word lament with a trochaic inversion,Lament rides the whispering evening breeze.,Lament rides the whispering evening breeze.,la MENT.RIDES the WHIS pe.ring E vening BREEZE,-++-+--+-+,-++-+--+-+,2.0,2,4
390,of blank verse,with a trochaic inversion,truth,write a line of blank verse including the word truth with a trochaic inversion,Truth unveils the shadows of the night.,Truth unveils the shadows of the night.,TRUTH un VEILS the SHA.DOWS of.the NIGHT,+-+-++--+,+-+-++--+,0,0,1
395,of blank verse,with a trochaic inversion,lie,write a line of blank verse including the word lie with a trochaic inversion,Morning shadows lie upon the waking earth.,Morning shadows lie upon the waking earth.,MOR ning SHA dows LIE u PON the WA king EARTH,+-+-+-+-+-+,+-+++-+-+-+,1.0,1,1
400,of blank verse,with a trochaic inversion,love,write a line of blank verse including the word love with a trochaic inversion,Love's whispers weave through twilight's gentle breeze.,Love's whispers weave through twilight's gentle breeze.,love's WHIS pers WEAVE through TWI light's GEN tle BREEZE,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
405,of blank verse,with a trochaic inversion,hate,write a line of blank verse including the word hate with a trochaic inversion,Hate's icy grip holds fast the restless mind.,Hate's icy grip holds fast the restless mind.,hate's I cy GRIP holds FAST the RES tless MIND,-+-+-+-+-+,++-+++-+-+,2.0,2,2
410,of blank verse,with a trochaic inversion,beginning,write a line of blank verse including the word beginning with a trochaic inversion,Golden sunlight bathes the quiet valley.,Golden sunlight bathes the quiet valley.,GOL den SUN light BATHES the QUI et VAL ley,+-+-+-+-+-,+-+++-+-+-,1.0,1,1
415,of blank verse,with a trochaic inversion,ultimate,write a line of blank verse including the word ultimate with a trochaic inversion,"Ultimate shadows dance beneath the moon,","Ultimate shadows dance beneath the moon,",UL ti.mate SHA dows DANCE be NEATH the MOON,+--+-+-+-+,+--+++-+-+,2.0,2,2
420,of blank verse,with a trochaic inversion,reason,write a line of blank verse including the word reason with a trochaic inversion,Reason holds the key to every choice.,Reason holds the key to every choice.,REA son HOLDS the KEY to E very CHOICE,+-+-+-+-+,+-+-+-+-+,0,0,1
425,of blank verse,with a trochaic inversion,deceit,write a line of blank verse including the word deceit with a trochaic inversion,Shadows of deceit cloak the silent night.,Shadows of deceit cloak the silent night.,SHA.DOWS of.de CEIT.CLOAK the SI lent NIGHT,++--++-+-+,++--++-+-+,2.0,2,3
430,of blank verse,with a trochaic inversion after a caesura,sorrow,write a line of blank verse including the word sorrow with a trochaic inversion after a caesura,"Upon the hill, SORROW's whispers softly fall.","Upon the hill, SORROW's whispers softly fall.",u PON the HILL SOR row's WHIS pers SOF tly FALL,-+-++-+-+-+,-+-++-+-+-+,0,0,1
435,of blank verse,with a trochaic inversion after a caesura,lament,write a line of blank verse including the word lament with a trochaic inversion after a caesura,Beneath the moonlit sky — lament fills the air.,,,,,,,
436,of blank verse,with a trochaic inversion after a caesura,truth,write a line of blank verse including the word truth with a trochaic inversion after a caesura,"The fading day, Truth whispers through the trees.","The fading day, Truth whispers through the trees.",the FA ding DAY truth WHIS pers THROUGH the TREES,-+-+-+-+-+,-+-+++---+,2.0,2,2
441,of blank verse,with a trochaic inversion after a caesura,lie,write a line of blank verse including the word lie with a trochaic inversion after a caesura,"Upon the day, gentle winds begin to lie.","Upon the day, gentle winds begin to lie.",u PON the DAY GEN tle WINDS be GIN to LIE,-+-++-+-+-+,-+-++-+-+-+,0,0,1
446,of blank verse,with a trochaic inversion after a caesura,love,write a line of blank verse including the word love with a trochaic inversion after a caesura,"In silent woods, Love whispers through the trees","In silent woods, Love whispers through the trees",in SI lent WOODS love WHIS pers THROUGH the TREES,-+-+-+-+-+,-+-+++---+,2.0,2,2
451,of blank verse,with a trochaic inversion after a caesura,hate,write a line of blank verse including the word hate with a trochaic inversion after a caesura,"When whispers fade, hate envelops darkened skies.","When whispers fade, hate envelops darkened skies.",when WHIS pers FADE HATE en VE lops DAR kened SKIES,-+-++-+-+-+,-+-++-+-+-+,0,0,1
456,of blank verse,with a trochaic inversion after a caesura,beginning,write a line of blank verse including the word beginning with a trochaic inversion after a caesura,"The river flows, beginning to unwind.","The river flows, beginning to unwind.",the RI ver FLOWS be GIN ning TO un WIND,-+-+-+-+-+,-+-+-+---+,1.0,1,1
461,of blank verse,with a trochaic inversion after a caesura,ultimate,write a line of blank verse including the word ultimate with a trochaic inversion after a caesura,"Beneath the silent night, ultimate dreams persist.","Beneath the silent night, ultimate dreams persist.",be NEATH the SI lent NIGHT UL ti.mate DREAMS per SIST,-+-+-++--+-+,-+-+-++--+-+,1.0,1,3
466,of blank verse,with a trochaic inversion after a caesura,reason,write a line of blank verse including the word reason with a trochaic inversion after a caesura,"The silent night, Reason whispers through the dark","The silent night, Reason whispers through the dark",the SI lent NIGHT REA son WHIS pers THROUGH the DARK,-+-++-+-+-+,-+-++-+---+,1.0,1,1
471,of blank verse,with a trochaic inversion after a caesura,deceit,write a line of blank verse including the word deceit with a trochaic inversion after a caesura,"Before the evening's calm, deceit hides truths unseen.","Before the evening's calm, deceit hides truths unseen.",be FORE the E vening's CALM de CEIT hides TRUTHS un SEEN,-+-+-+-+-+-+,-+-+-+-+++-+,1.0,1,2
476,of blank verse,with an inverted foot,sorrow,write a line of blank verse including the word sorrow with an inverted foot,Sorrow dims the glow that shines upon the night.,Sorrow dims the glow that shines upon the night.,SOR row DIMS the GLOW that SHINES u PON the NIGHT,+-+-+-+-+-+,+-+-+-+-+-+,0,0,1
481,of blank verse,with an inverted foot,lament,write a line of blank verse including the word lament with an inverted foot,"In darkest hours, we lament the lost.","In darkest hours, we lament the lost.",in DAR kest HO urs WE la MENT the LOST,-+-+-+-+-+,-+-+---+-+,1.0,1,4
486,of blank verse,with an inverted foot,truth,write a line of blank verse including the word truth with an inverted foot,Hidden truth lies deep within the soul.,Hidden truth lies deep within the soul.,HID den TRUTH lies DEEP wit HIN the SOUL,+-+-+-+-+,+-+++-+-+,1.0,1,1
